Secteur	Catégorie	Activité
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de café sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de peinture sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de jeux pour enfants sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de puériculture sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'accessoires pour animaux sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de maroquinerie sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de jardinerie sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de cosmétiques sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de bijouterie sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'accessoires vestimentaires sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'accessoires sportifs sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de vélos et vélos à assistance électriques  
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'accessoires automobiles sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'accessoires industriels sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'accessoires culinaires sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de literie sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de trotinnettes et trotinnettes électriques sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'électroménagers sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Autre - Commerce de détail
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce bricolage / outillage (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce textiles (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce high-tech (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce décoration intérieure / petits mobiliers / luminaires (hors magasin de meubles / litierie et dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'objets publicitaires (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'accessoires beauté et bien-être (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de café, théo, cacao, épices (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de peinture (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de jeux pour enfants (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de puériculture (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'accessoires pour animaux (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de maroquinerie (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de jardinerie (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce alimentaire (hors frais et surgelés, hors dropshipping et sans fabrication)
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de cosmétiques (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de bijoux (hors dropshipping) sans fabrication
